Ion   Ju     Eu(eV)         Jl      El(eV)          lambda(AA)     A(s^-1)       gf  
UII   6.5   4.0742         5.5     0.5481            3515.231      1.199E+07  0.3606 
UII   6.5   4.3033         6.5     0.7790            3517.048      1.932E+07  0.4986 
UII   5.5   3.6347         4.5     0.1134            3519.955      1.468E+07  0.3902 
UII   6.5   4.2995         6.5     0.7790            3520.787      2.131E+07  0.5510 
UII   5.5   4.6614         4.5     1.146             3525.751      1.977E+07  0.5273 
UII   6.5   3.5505         5.5     0.03584           3526.596      9.628E+06  0.2914 
UII   5.5   3.5115         4.5     0.000             3529.77       6.340E+06  0.1695 
UII   5.5   3.7271         6.5     0.2169            3531.111      2.246E+07  0.4291 
UII   5.5   3.6212         4.5     0.1134            3533.566      1.779E+07  0.4766 
UII   6.5   4.5605         7.5     1.057             3537.461      2.834E+07  0.6473 
UII   5.5   4.2097         4.5     0.7087            3540.465      2.948E+07  0.7929 
UII   6.5   4.1504         7.5     0.6521            3543.157      2.315E+07  0.5305 
UII   6.5   4.2763         6.5     0.7790            3544.206      1.871E+07  0.4902 
UII   5.5   3.7116         6.5     0.2169            3546.677      1.786E+07  0.3444 
UII   7.5   3.7111         6.5     0.2169            3547.191      1.241E+07  0.4253 
UII   5.5   3.4907         4.5     0.000             3550.822      2.061E+07  0.5577 
UII   6.5   3.5263         5.5     0.03584           3551.043      7.628E+06  0.2341 
UII   4.5   3.7739         5.5     0.2845            3552.165      2.655E+07  0.4160 
UII   5.5   3.6981         6.5     0.2169            3560.442      1.434E+07  0.2786 
UII   5.5   4.6614         5.5     1.184             3564.88       3.180E+07  0.7225 
UII   5.5   4.0192         5.5     0.5481            3570.947      1.247E+07  0.2842 
UII   6.5   4.1884         5.5     0.7179            3571.567      1.327E+07  0.4119 
UII   6.5   4.0184         5.5     0.5481            3571.692      1.236E+07  0.3837 
UII   5.5   4.1692         4.5     0.7087            3581.837      2.375E+07  0.6538 
UII   6.5   4.1044         7.5     0.6521            3590.318      2.380E+07  0.5599 
UII   5.5   3.5656         4.5     0.1134            3590.496      1.241E+07  0.3434 
UII   5.5   3.6647         6.5     0.2169            3594.955      1.833E+07  0.3631 
UII   6.5   3.6547         6.5     0.2169            3605.483      9.076E+06  0.2461 
UII   3.5   4.0152         3.5     0.5782            3606.325      3.655E+07  0.5667 
UII   6.5   4.2121         6.5     0.7790            3610.485      1.734E+07  0.4714 
